,1,2,4,6,8,16,24,32,64,96,128
512,1.55,0.93,0.15,0.11,1.79,3.54,3.56,10.42,17.36,17.17,17.69
1024,5.6,3.26,0.41,0.29,1.97,3.66,3.62,10.61,17.54,17.21,17.82
4096,86.54,49.66,5.06,3.47,5.51,6.27,5.54,13.4,19.75,18.77,18.86
10000,511.48,294.99,36.09,24.93,25.04,18.48,13.72,28.32,31.5,26.86,24.87
