,2,4,6,8,16,24,32,64,96,128
512,65.23,47.94,45.34,37.59,25.64,28.81,12.2,4.34,4.91,1.45
1024,66.5,54.06,49.38,44.97,33.51,35.91,25.09,11.54,13.4,4.32
4096,67.49,57.58,54.72,52.33,47.32,47.33,41.83,33.92,33.41,25.39
10000,67.21,57.57,54.7,52.85,49.62,48.19,43.92,38.64,38.48,35.76
