,2,4,6,8,16,24,32,64,96,128
512,9.27,11.97,15.67,31.27,26.37,26.47,25.43,20.63,22.0,23.0
1024,1.07,8.2,6.97,19.58,23.43,24.5,24.95,23.13,20.5,24.1
4096,0.53,9.6,9.87,6.75,16.07,16.17,20.7,20.63,22.5,24.9
10000,0.7,4.63,8.63,8.33,9.9,7.7,9.67,14.87,18.03,19.93
