,2,4,6,8,16,24,32,64,96,128
512,83.78,257.17,232.53,10.87,2.74,1.82,0.47,0.14,0.09,0.07
1024,85.78,340.81,318.09,35.54,9.55,6.44,1.65,0.5,0.34,0.25
4096,87.13,427.23,415.98,196.47,86.33,65.11,20.18,6.85,4.8,3.58
10000,86.69,354.29,341.88,255.29,172.96,155.31,56.43,25.37,19.84,16.07
