2,2,1,512,1.003,0.116,0.116,0.26
8,2,4,512,2.803,0.557,0.199,0.09
32,2,16,512,13.736,2.585,0.188,0.02
4,4,1,512,0.264,0.042,0.159,0.99
16,4,4,512,2.828,0.719,0.254,0.09
64,4,16,512,14.133,3.066,0.217,0.02
6,6,1,512,0.146,0.011,0.078,1.80
24,6,4,512,2.812,0.803,0.286,0.09
96,6,16,512,13.839,3.114,0.225,0.02
8,6,16,512,0.156,0.061,0.393,1.69
32,8,4,512,2.998,0.898,0.300,0.09
128,8,16,512,14.289,3.487,0.244,0.02
2,2,1,1024,3.423,0.013,0.004,0.31
8,2,1,1024,3.094,0.519,0.168,0.34
32,2,1,1024,13.922,2.845,0.204,0.08
4,2,1,1024,0.790,0.058,0.073,1.33
16,2,1,1024,3.020,0.722,0.239,0.35
64,2,1,1024,14.305,3.198,0.224,0.07
6,2,4,1024,0.471,0.025,0.053,2.23
24,2,4,1024,2.955,0.695,0.235,0.36
96,6,16,1024,13.866,2.505,0.181,0.08
8,2,16,1024,0.385,0.078,0.202,2.72
32,8,4,1024,3.078,0.947,0.308,0.34
128,4,1,1024,14.415,3.255,0.226,0.07
2,2,1,4096,52.357,0.153,0.003,0.32
8,6,1,4096,8.664,0.760,0.088,1.94
32,2,16,4096,18.529,3.546,0.191,0.91
4,8,1,4096,14.966,1.555,0.104,1.12
16,4,4,4096,5.534,0.817,0.148,3.03
64,4,16,4096,16.153,2.972,0.184,1.04
6,2,1,4096,9.018,0.425,0.047,1.86
24,2,1,4096,4.626,0.774,0.167,3.63
96,2,1,4096,15.387,3.549,0.231,1.09
8,2,1,4096,3.823,0.197,0.051,4.39
32,2,1,4096,4.402,0.961,0.218,3.81
128,2,1,4096,15.529,4.008,0.258,1.08
2,2,1,10000,313.486,4.021,0.013,0.32
8,2,4,10000,42.979,2.597,0.060,2.33
32,2,4,10000,41.506,3.343,0.081,2.41
4,4,1,10000,65.830,3.150,0.048,1.52
16,4,1,10000,20.775,2.191,0.105,4.81
64,4,1,10000,27.913,4.015,0.144,3.58
6,4,1,10000,39.111,2.609,0.067,2.56
24,4,1,10000,13.386,0.930,0.069,7.47
96,4,1,10000,23.538,4.002,0.170,4.25
8,4,1,10000,28.755,2.270,0.079,3.48
32,4,1,10000,10.909,1.217,0.112,9.17
128,4,1,10000,21.600,4.188,0.194,4.63
2,4,1,512,0.930,0.020,0.022,0.28
8,4,4,512,2.791,0.592,0.212,0.09
32,4,4,512,13.925,2.746,0.197,0.02
4,4,4,512,0.251,0.029,0.117,1.05
16,4,4,512,2.846,0.718,0.252,0.09
64,4,4,512,14.061,2.991,0.213,0.02
6,4,4,512,0.156,0.026,0.169,1.68
24,4,4,512,2.878,0.766,0.266,0.09
96,6,16,512,13.880,3.093,0.223,0.02
8,4,16,512,0.184,0.092,0.502,1.43
32,8,4,512,3.038,1.011,0.333,0.09
128,6,1,512,14.282,3.143,0.220,0.02
2,6,1,1024,3.495,0.077,0.022,0.30
8,6,1,1024,3.084,0.544,0.176,0.34
32,6,1,1024,14.143,2.748,0.194,0.07
4,6,1,1024,0.814,0.081,0.100,1.29
16,6,1,1024,3.046,0.648,0.213,0.34
64,6,1,1024,13.931,3.194,0.229,0.08
6,6,1,1024,0.470,0.030,0.063,2.23
24,6,1,1024,2.926,0.767,0.262,0.36
96,6,1,1024,13.885,3.121,0.225,0.08
8,6,1,1024,0.404,0.102,0.252,2.60
32,6,1,1024,3.198,0.937,0.293,0.33
128,6,1,1024,14.444,3.655,0.253,0.07
2,2,1,4096,52.666,0.299,0.006,0.32
8,2,4,4096,8.595,0.742,0.086,1.95
32,2,16,4096,18.520,3.286,0.177,0.91
4,8,1,4096,14.226,1.418,0.100,1.18
16,8,1,4096,5.667,0.900,0.159,2.96
64,8,1,4096,16.519,3.476,0.210,1.02
6,8,1,4096,9.024,1.655,0.183,1.86
24,8,1,4096,4.608,0.715,0.155,3.64
96,8,1,4096,15.631,3.381,0.216,1.07
8,8,1,4096,3.834,0.223,0.058,4.38
32,8,4,4096,4.430,1.100,0.248,3.79
128,8,4,4096,15.614,3.775,0.242,1.07
2,2,1,10000,313.042,1.385,0.004,0.32
8,2,4,10000,42.779,2.596,0.061,2.34
32,2,16,10000,41.721,3.726,0.089,2.40
4,2,1,10000,65.286,2.704,0.041,1.53
16,2,1,10000,19.994,1.593,0.080,5.00
64,2,1,10000,27.996,4.132,0.148,3.57
6,2,1,10000,39.315,3.781,0.096,2.54
24,2,1,10000,13.345,1.077,0.081,7.49
96,2,1,10000,23.613,4.298,0.182,4.24
8,2,1,10000,28.919,3.606,0.125,3.46
32,2,1,10000,10.985,1.209,0.110,9.10
128,2,1,10000,21.524,4.272,0.198,4.65
2,2,1,512,1.038,0.146,0.140,0.25
8,2,1,512,2.747,0.514,0.187,0.10
32,2,1,512,14.016,2.892,0.206,0.02
4,2,1,512,0.242,0.020,0.083,1.09
16,2,1,512,2.851,0.811,0.285,0.09
64,2,1,512,13.719,2.592,0.189,0.02
6,2,1,512,0.162,0.036,0.223,1.62
24,2,1,512,2.776,0.670,0.242,0.09
96,2,1,512,13.711,2.913,0.212,0.02
8,2,1,512,0.153,0.059,0.383,1.71
32,8,4,512,2.957,0.892,0.302,0.09
128,2,4,512,14.218,3.220,0.226,0.02
2,2,4,1024,3.476,0.022,0.006,0.30
8,2,4,1024,3.017,0.514,0.170,0.35
32,2,4,1024,14.131,3.060,0.217,0.07
4,2,4,1024,0.787,0.057,0.073,1.33
16,2,4,1024,2.931,0.735,0.251,0.36
64,2,4,1024,14.306,3.446,0.241,0.07
6,2,4,1024,0.489,0.046,0.093,2.15
24,2,4,1024,2.889,0.686,0.238,0.36
96,2,4,1024,13.850,2.897,0.209,0.08
8,2,4,1024,0.381,0.079,0.207,2.75
32,2,4,1024,3.046,0.856,0.281,0.34
128,8,16,1024,14.370,3.501,0.244,0.07
2,2,1,4096,52.759,0.385,0.007,0.32
8,4,1,4096,8.556,0.708,0.083,1.96
32,4,1,4096,18.527,3.069,0.166,0.91
4,4,1,4096,14.970,1.260,0.084,1.12
16,4,1,4096,5.712,1.000,0.175,2.94
64,4,1,4096,16.529,3.719,0.225,1.02
6,4,1,4096,9.094,0.605,0.066,1.85
24,4,1,4096,4.661,0.759,0.163,3.60
96,4,1,4096,15.564,3.550,0.228,1.08
8,4,1,4096,3.842,0.150,0.039,4.37
32,4,1,4096,4.465,1.080,0.242,3.76
128,4,1,4096,15.701,3.874,0.247,1.07
2,2,1,10000,310.881,1.242,0.004,0.32
8,2,4,10000,42.837,2.646,0.062,2.33
32,8,1,10000,41.702,3.985,0.096,2.40
4,4,1,10000,66.307,3.283,0.050,1.51
16,8,4,10000,21.292,2.388,0.112,4.70
64,4,16,10000,28.341,4.357,0.154,3.53
6,6,1,10000,39.815,3.837,0.096,2.51
24,6,4,10000,13.419,1.091,0.081,7.45
96,6,16,10000,23.452,4.424,0.189,4.26
8,8,1,10000,29.097,3.296,0.113,3.44
32,2,1,10000,10.695,0.984,0.092,9.35
128,2,1,10000,21.530,4.443,0.206,4.65
