2,2,1,512,1.170,0.22
8,2,4,512,0.545,0.48
32,2,4,512,0.471,0.56
4,4,1,512,0.810,0.32
16,2,16,512,0.295,0.89
64,2,16,512,0.202,1.30
6,2,16,512,0.602,0.44
24,6,4,512,0.210,1.25
96,4,4,512,0.266,0.99
8,8,1,512,0.515,0.51
32,4,16,512,0.361,0.73
128,4,16,512,0.694,0.38
2,2,1,1024,4.266,0.25
8,6,4,1024,1.514,0.69
32,2,16,1024,0.801,1.31
4,6,16,1024,2.582,0.41
16,6,16,1024,0.891,1.18
64,4,16,1024,0.793,1.32
6,6,1,1024,1.855,0.57
24,6,4,1024,0.638,1.65
96,8,16,1024,0.353,2.97
8,8,16,1024,1.545,0.68
32,8,16,1024,0.706,1.49
128,2,1,1024,0.949,1.11
2,2,1,4096,63.931,0.26
8,2,4,4096,21.472,0.78
32,2,16,4096,6.989,2.40
4,4,1,4096,37.531,0.45
16,2,1,4096,11.201,1.50
64,2,1,4096,3.572,4.70
6,6,1,4096,26.756,0.63
24,6,4,4096,7.760,2.16
96,4,1,4096,2.569,6.53
8,8,1,4096,20.247,0.83
32,4,16,4096,6.036,2.78
128,8,16,4096,2.635,6.37
2,2,1,10000,380.922,0.26
8,2,4,10000,124.527,0.80
32,2,16,10000,39.198,2.55
4,4,1,10000,221.608,0.45
16,4,4,10000,65.373,1.53
64,4,16,10000,20.272,4.93
6,6,1,10000,156.018,0.64
24,2,1,10000,43.501,2.30
96,6,16,10000,13.556,7.38
8,8,1,10000,119.605,0.84
32,8,4,10000,33.374,3.00
128,2,1,10000,11.056,9.05
2,2,1,512,1.204,0.22
8,2,1,512,0.528,0.50
32,2,1,512,0.464,0.57
4,2,1,512,0.804,0.33
16,2,1,512,0.393,0.67
64,2,1,512,0.549,0.48
6,2,1,512,0.574,0.46
24,2,1,512,0.208,1.26
96,2,1,512,0.174,1.51
8,2,1,512,0.500,0.53
32,2,1,512,0.338,0.78
128,2,1,512,0.870,0.30
2,2,1,1024,4.179,0.25
8,2,1,1024,1.624,0.65
32,2,1,1024,0.810,1.30
4,2,1,1024,2.572,0.41
16,2,1,1024,1.023,1.03
64,2,1,1024,0.369,2.85
6,2,1,1024,1.919,0.55
24,2,1,1024,0.783,1.34
96,2,1,1024,0.403,2.60
8,2,1,1024,1.505,0.70
32,2,1,1024,0.653,1.61
128,2,1,1024,0.813,1.29
2,2,1,4096,64.189,0.26
8,2,1,4096,21.140,0.79
32,2,1,4096,6.944,2.42
4,2,1,4096,37.542,0.45
16,4,4,4096,11.430,1.47
64,2,4,4096,4.023,4.17
6,6,1,4096,26.317,0.64
24,2,16,4096,7.735,2.17
96,2,16,4096,2.493,6.73
8,2,16,4096,20.292,0.83
32,8,4,4096,5.895,2.85
128,4,1,4096,2.549,6.58
2,2,1,10000,380.862,0.26
8,2,4,10000,123.958,0.81
32,2,1,10000,39.075,2.56
4,4,1,10000,222.111,0.45
16,2,1,10000,64.842,1.54
64,2,1,10000,20.300,4.93
6,2,1,10000,155.370,0.64
24,6,4,10000,44.036,2.27
96,6,16,10000,13.712,7.29
8,8,1,10000,118.430,0.84
32,8,4,10000,33.058,3.03
128,8,16,10000,11.784,8.49
2,6,1,512,1.212,0.22
8,6,1,512,0.528,0.50
32,6,1,512,0.459,0.57
4,6,1,512,0.806,0.33
16,6,1,512,0.389,0.68
64,6,1,512,0.214,1.23
6,6,1,512,0.583,0.45
24,6,4,512,0.244,1.08
96,6,4,512,0.161,1.63
8,6,4,512,0.494,0.53
32,8,4,512,0.300,0.88
128,6,16,512,0.763,0.34
2,6,16,1024,4.173,0.25
8,6,16,1024,1.605,0.65
32,6,16,1024,0.796,1.32
4,4,1,1024,2.576,0.41
16,8,1,1024,1.066,0.98
64,8,1,1024,0.727,1.44
6,8,1,1024,1.918,0.55
24,8,1,1024,0.651,1.61
96,8,1,1024,0.498,2.11
8,8,4,1024,1.509,0.70
32,8,4,1024,0.630,1.67
128,8,16,1024,0.891,1.18
2,2,1,4096,64.106,0.26
8,2,4,4096,20.932,0.80
32,2,16,4096,7.076,2.37
4,4,1,4096,37.511,0.45
16,4,4,4096,11.433,1.47
64,4,16,4096,4.029,4.17
6,6,1,4096,26.443,0.63
24,6,4,4096,7.498,2.24
96,6,16,4096,2.648,6.34
8,8,1,4096,20.324,0.83
32,8,4,4096,6.047,2.78
128,8,16,4096,2.597,6.46
2,2,1,10000,379.953,0.26
8,2,4,10000,124.910,0.80
32,2,16,10000,39.361,2.54
4,4,1,10000,221.800,0.45
16,4,4,10000,64.115,1.56
64,4,16,10000,20.463,4.89
6,6,1,10000,155.282,0.64
24,6,4,10000,43.052,2.32
96,6,16,10000,13.734,7.28
8,8,1,10000,118.991,0.84
32,8,4,10000,32.984,3.03
128,8,16,10000,10.842,9.22
