512,1.550, 0.17
1024,5.606, 0.19
4096,86.766, 0.19
10000,511.253, 0.20
512,1.559, 0.17
1024,5.593, 0.19
4096,86.564, 0.19
10000,511.076, 0.20
512,1.551, 0.17
1024,5.596, 0.19
4096,86.291, 0.19
10000,512.109, 0.20
