2,2,1,512,1.185,0.019,0.016,0.22
8,2,4,512,0.521,0.103,0.198,0.50
32,2,16,512,0.459,0.349,0.761,0.57
4,4,1,512,0.805,0.046,0.058,0.33
16,4,4,512,0.368,0.153,0.416,0.71
64,4,16,512,0.582,0.526,0.905,0.45
6,2,16,512,0.578,0.036,0.063,0.45
24,2,16,512,0.260,0.116,0.445,1.01
96,2,16,512,0.161,0.130,0.806,1.63
8,4,1,512,0.509,0.092,0.181,0.52
32,4,4,512,0.317,0.207,0.654,0.83
128,8,16,512,0.711,0.686,0.965,0.37
2,4,16,1024,4.211,0.044,0.011,0.25
8,4,16,1024,1.506,0.094,0.062,0.70
32,2,16,1024,0.585,0.150,0.256,1.79
4,4,1,1024,2.588,0.137,0.053,0.41
16,4,4,1024,1.054,0.321,0.305,1.00
64,6,16,1024,0.783,0.579,0.740,1.34
6,6,16,1024,1.860,0.091,0.049,0.56
24,6,16,1024,0.709,0.181,0.256,1.48
96,6,16,1024,0.514,0.387,0.752,2.04
8,8,4,1024,1.553,0.149,0.096,0.68
32,8,4,1024,0.685,0.249,0.363,1.53
128,8,16,1024,0.870,0.761,0.874,1.21
2,2,1,4096,64.296,0.239,0.004,0.26
8,2,4,4096,21.401,0.754,0.035,0.78
32,2,16,4096,6.948,0.566,0.081,2.42
4,4,1,4096,37.438,0.312,0.008,0.45
16,2,1,4096,11.286,0.341,0.030,1.49
64,2,1,4096,3.599,0.326,0.091,4.66
6,6,1,4096,26.295,0.383,0.015,0.64
24,6,4,4096,7.638,0.546,0.071,2.20
96,2,16,4096,2.520,0.392,0.155,6.66
8,8,1,4096,20.305,0.424,0.021,0.83
32,8,4,4096,6.052,0.586,0.097,2.77
128,4,16,4096,2.616,0.995,0.381,6.42
2,2,1,10000,380.181,0.850,0.002,0.26
8,2,4,10000,128.542,5.922,0.046,0.78
32,4,1,10000,40.682,2.031,0.050,2.46
4,4,1,10000,221.123,1.351,0.006,0.45
16,4,4,10000,64.818,1.972,0.030,1.54
64,4,16,10000,19.818,0.643,0.032,5.05
6,6,1,10000,154.688,1.175,0.008,0.65
24,2,1,10000,43.151,0.590,0.014,2.32
96,6,16,10000,14.100,1.328,0.094,7.09
8,8,1,10000,119.347,1.716,0.014,0.84
32,8,4,10000,33.126,1.176,0.036,3.02
128,2,1,10000,10.834,1.209,0.112,9.23
2,2,1,512,1.193,0.002,0.002,0.22
8,2,1,512,0.470,0.048,0.102,0.56
32,2,1,512,0.460,0.325,0.706,0.57
4,2,1,512,0.788,0.032,0.041,0.33
16,2,1,512,0.290,0.075,0.259,0.91
64,2,1,512,0.219,0.164,0.747,1.20
6,2,1,512,0.569,0.028,0.049,0.46
24,2,1,512,0.245,0.100,0.410,1.07
96,2,1,512,0.207,0.176,0.849,1.27
8,2,1,512,0.492,0.076,0.154,0.53
32,2,1,512,0.319,0.210,0.658,0.82
128,2,1,512,0.658,0.633,0.962,0.40
2,2,1,1024,4.172,0.034,0.008,0.25
8,2,1,1024,1.507,0.082,0.054,0.70
32,2,1,1024,0.807,0.370,0.458,1.30
4,2,1,1024,2.569,0.066,0.026,0.41
16,2,1,1024,0.906,0.132,0.145,1.16
64,2,1,1024,0.758,0.555,0.732,1.38
6,2,1,1024,1.871,0.158,0.085,0.56
24,2,1,1024,0.698,0.148,0.211,1.50
96,2,1,1024,0.282,0.155,0.550,3.72
8,2,1,1024,1.532,0.161,0.105,0.69
32,2,1,1024,0.641,0.261,0.407,1.64
128,2,1,1024,0.832,0.729,0.877,1.26
2,2,1,4096,64.227,0.075,0.001,0.26
8,2,1,4096,20.852,0.280,0.013,0.80
