,2,4,6,8,16,24,32,64,96,128
512,79.58,151.69,173.36,13.13,3.37,2.29,0.57,0.17,0.12,0.08
1024,81.14,175.09,191.46,40.54,11.76,7.91,2.03,0.62,0.42,0.3
4096,81.9,146.31,156.67,173.85,95.29,77.3,23.56,8.22,5.8,4.32
10000,81.96,194.95,215.22,176.7,151.0,158.99,60.46,28.34,22.56,18.49
