,2,4,6,8,16,24,32,64,96,128
512,64.97,48.14,44.15,37.46,27.04,29.33,12.17,7.55,8.08,1.56
1024,66.55,54.32,49.18,45.14,35.22,33.77,23.88,13.89,13.95,4.95
4096,67.53,57.65,54.42,52.17,47.63,47.05,41.62,34.9,35.08,26.07
10000,67.2,57.64,54.8,52.52,49.35,48.96,44.18,39.28,38.98,35.59
