,2,4,6,8,16,24,32,64,96,128
512,1.3,1.93,2.65,3.0,4.33,7.04,3.89,4.83,7.75,2.0
1024,1.33,2.17,2.95,3.61,5.64,8.11,7.64,8.89,13.39,6.33
4096,1.35,2.31,3.27,4.17,7.62,11.29,13.32,22.33,33.67,33.37
10000,1.34,2.31,3.29,4.2,7.9,11.75,14.14,25.14,37.42,45.56
